Aisles,Product,amountBought
"facial care","Makeup Dissolving Facial Cleansing Wipes, Oil-Free",210
"facial care","Lip Repair + Protect SPF 30 Lip Balm",209
"facial care","Dry Touch Sunscreen SPF 30 Posted 5/21/2013 Ultra Sheer Sunblock",202
"facial care","Dual Action Moisturizer, Oil-Free",199
"facial care","Blackhead Eraser Scrub",198
"facial care","Gentle Clean Foaming Face Cleanser, 6.7 fl oz Female Skin Care",195
"facial care","Witch Hazel Soothing Multi Use Cleansing Clothes",186
"facial care","L&#39;Or&Eacute;Al&Reg; Paris Pure Clay Mask Detox &#38; Brighten 1.7 Oz",177
"facial care","Daily Clean Wet Cleansing Cloths, 30 count Female Skin Care",177
"facial care","Essentials Foaming Facial Cleanser For Sensitive Skin",173
"facial care","Transparent Facial Bar",172
"facial care","Maximum Strength Acne Foaming Wash w/ 10% Benzoyl Peroxide",171
"facial care","Self Heating One Minute Mask",171
"facial care","Vanishing Acne Treatment Cream",170
"facial care","4-in-1 Daily Facial Cloths, Normal",169
"facial care","Pure & Freeâ„¢ Baby Sunblock Sunscreen Lotion SPF 60+",166
"facial care","Daily Clear Hydra-Blast Oil-Free Face Wash",160
"facial care","Healthy Skin Anti-Wrinkle Cream with Sunscreen SPF 15",160
"facial care","Oil-Free Acne Stress Control Triple-Action Toner",158
"facial care","Pink Grapefruit Foaming Scrub",158
"facial care","Original Classic Lip Balm",155
"facial care","Advanced Formula Lip Therapy Skin Protectant",154
"facial care","Original Lip Therapy",154
"facial care","Ultimate Clear Anti-Blemish Pads",153
"facial care","Age Defying Body Wash Pump",150
"facial care","Organic Lip Balm Sphere - Strawberry Sorbet",150
"facial care","Oil-Free Stress Control Power-Cream Wash",149
"facial care","Moisturizing Skin Cream",147
"facial care","Deep Action Exfoliating Scrub Oil Free Cleansers",145
"facial care","Rosy Lip Therapy",144
"facial care","Smoothing Facial Scrub",142
"facial care","Clear Face Break Out Free Liquid Lotion Sunscreen Spf 30",139
"facial care","Original Formula Facial Bar",138
"facial care","Ultra Soft Cloths Make-Up Remover Cleansing Towelettes",137
"facial care","Maximum Alcohol Free Medicated Acne Pads",136
"facial care","Acne Medication Rapid Treatment Face Wash Maximum Action",136
"facial care","Positively Radiant Daily Moisturizer Broad Spectrum SPF 30",136
"facial care","Gentle Clean Foaming Face Cleanser",134
"facial care","Exfoliating Renewal Wet Cleansing Towelettes",133
"facial care","Pore Refining Exfoliating Cleanser",131
"facial care","Complete Day Moisturizer SPF 15",130
"facial care","for Men Energy Face Scrub",130
"facial care","Acne Wash",128
"facial care","Ultra 5-in-1 Exfoliating Wash Acne Medication",127
"facial care","Clear Hand Soap Refill",126
"facial care","Morning Burst Hydrating Facial Cleanser",122
"facial care","Hawaiian Complexion Balancing Hibiscus Facial Toner",120
"facial care","Honest Face + Body Lotion",120
"facial care","Original Witch Hazel Pore Perfecting Toner",118
"facial care","Positively Radiant Brightening Cleanser",115
"facial care","Micellar Facial Cleanser Water",114
"facial care","Deep Cleansing Toner Sensitive Skin Essentials Step 2",108
"facial care","Advantage 3-In-1 Exfoliating Cleanser",108
"facial care","Total Effects Anti-Aging Daily Moisturizer",105
"facial care","Regenerist Olay Regenerist Micro-Sculpting Cream Face Moisturizer 1.7 oz. Female Skin Care",104
"facial care","Intense Hydration Night Cream with Clary Sage",103
"facial care","Positively Radiant Daily Cleansing Pads",103
"facial care","Morning Burst Oil Free Acnewash",102
"facial care","Body Creme",102
"facial care","Absolutely Ageless Nourishing Cleanser",102
"facial care","Gentle Cleansing Milk",102
"facial care","Cotton Balls, Regular Size",101
"facial care","Natural Glow Fair to Medium Skin Tones Daily Moisturizer",99
"facial care","Herbal Blemish Stick with Tea Tree Leaf Oil",97
"facial care","Original Clickstick Lip Balm",96
"facial care","Sport Performance Sunscreen Lotion SPF 30",96
"facial care","Healthy Defense Daily Moisturizer SPF 50",96
"facial care","Clear Complexion Cream Cleanser",96
"facial care","Regenerist Night Recovery Cream",94
"facial care","L&#39;Or&Eacute;Al&Reg; Paris Revitalift&Reg; Bright Reveal Brightening Peel Pads 30 Count",92
"facial care","Morning BurstÂ® Facial Scrub Cleansers",91
"facial care","Essential Makeup Removing Wipes Jasmine & Coconut Water Facial Towelettes",87
"facial care","Fruit Stem Cell Revitalize Serum",87
"facial care","Organic Pomegranate Raspberry Lip Balm",87
"facial care","Revitalift Anti-Wrinkle + Firming Day Cream SPF 18",86
"facial care","Night Relaxing Deep Cleaning Face Wash",85
"facial care","Active Hydrating Facial Moisturizer",85
"facial care","Rapid Wrinkle Repair Serum",82
"facial care","Oil-Absorbing Sheets Cleansers",81
"facial care","Age Shield Face Lotion Sunscreen Broad Spectrum SPF 110",80
"facial care","Daily Repair Fresh Toothpaste",80
"facial care","All-in-1 Acne Control Daily Scrub",79
"facial care","Dreamy Youth Day And Night Face Cream",78
"facial care","Visibly Soft Vanilla Mint Lip Balm Sphere",75
"facial care","Visibly Soft Coconut Milk Lip Balm Sphere",74
"facial care","Oil Control Foam Wash",72
"facial care","Oil-Free Moisture - Combination Skin",72
"facial care","Oil Free Moisture With SPF 35 Sunscreen Facial Moisturizer",72
"facial care","Complete Daily All Day Moisturizer With SPF 30 For Sensitive Skin",70
"facial care","Oil-Free Eye Makeup Remover Liquid",69
"facial care","Acne Solutions Maximum Strength Spot Treatment Cream",68
"facial care","Complete All Day Moisturizer With SPF 15 For Normal",68
"facial care","Daily Moisturizing Lotion SPF 15",68
"facial care","Hydrating Eye Creme",67
"facial care","Age Defying Classic Cleanser",66
"facial care","SPF 20 Vanilla Lip Balm",66
"facial care","Total Effects Revitalizing Foaming Cleanser",65
"facial care","Healing Lip Balm",65
"facial care","Signature Mint Face Lotion & Post Shave",64
"facial care","Make Up Remover Cleansing Towelettes",64
"facial care","Skin Clearing Acne Wash Oil-Free Men",64
"facial care","Rejuveness Anti Wrinkle Cream",64
"facial care","Coconut Face Hand Cleansing Wipes",63
"facial care","Acne Solutions Spot Treatment",62
"facial care","Rapid Clear Stubborn Acne Cleanser",62
"facial care","Acne Eliminating Spot Gel Rapid ClearÂ®",62
"facial care","Blemish Clearing Serum",62
"facial care","Pink Grapefruit Lip Balm",62
"facial care","Stubborn Acne Spot Gel Rapid ClearÂ®",61
"facial care","Radiance Facial Cleanser",61
"facial care","Deep Renewal Anti-Aging Treatment SPF 15 Lip Protectant",60
"facial care","Replenishing Rich Facial Moisturizer",59
"facial care","Night Of Olay Firming Cream",59
"facial care","Ultra-Calming Daily Moisturizer Broad Spectrum SPF 15",59
"facial care","Age Defying Daily Facial Moisturizer",58
"facial care","Regenerist Moisturizer Regenerating Lotion With SPF 15",58
"facial care","Mango Moisturizing Lip Balm",55
"facial care","RESTORADERM Eczema Calming Body Moisturizer",55
"facial care","Brightening Even Skin Tone Moisturizing Cream",53
"facial care","Total Effects Anti-Aging Fragrance Free Moisturizer",53
"facial care","Organic Lip Balm Sphere Sweet Mint",52
"facial care","Radiance Night Cream",52
"facial care","Ultra Rapid Action Vanishing Treatment Cream, Maximum Strength",52
"facial care","Oil Control Untinted Beauty Balm With SPF 30",51
"facial care","Organic Summer Fruit Lip Balm Sphere",50
"facial care","Dry Touch Sunscreen SPF 45 Posted 7/9/2013 Ultra Sheer Sunblock",50
"facial care","Regenerist Deep Hydration Regenerating Face Cream Moisturizer",49
"facial care","Raspberry Lemonade Blast SPF 15 Lip Balm",49
"facial care","Acne ProneÂ® Skin Formula Facial Bar",48
"facial care","Pore Refining Toner",47
"facial care","Sensitive Night Cream",46
"facial care","Rapid Wrinkle Repair Moisturizer Broad Spectrum SPF 30",46
"facial care","Night Relaxing All-In-One Cleansing Wipes",46
"facial care","Cucumbers Makeup Remover Pads",46
"facial care","Even Advanced Sea Lettuce Cleansing Milk",45
"facial care","Deep Cleansing Nose/Face Combo Pore Strips",45
"facial care","Oil Control Moisturizer With SPF 30",45
"facial care","Rapid Wrinkle Repair Eye Cream",43
"facial care","Ultra Rapid Action Face Scrub",43
"facial care","Wrinkle Therapy with CoQ10 & Rosehip Cleansing Milk",43
"facial care","Coconut & Pear Moisturizing 100 Percent Natural Lip Balm",43
"facial care","3 Days to Glow Medium to Tan Skin Tones Moisturizer",42
"facial care","L'OrealÂ® Paris Sublime Bronze Tinted Self-Tanning Lotion - Medium Natural Tan",36
"facial care","Age Defying Anti-Wrinkle Night Cream",35
"facial care","Bar Pore Minimizing Pore Treatment",31
"facial care","Sea Kelp Facial Toner",31
"facial care","Acne Solutions Pore Refining Scrub",31
"facial care","Skin Renew Miracle Skin Perfector BB Cream: Daily Anti-Aging, Light/Medium",30
"facial care","Natural Glow Fair to Medium Skin Tones Facial Moisturizer",29
"facial care","Orange Essence Facial Cleanser",29
"facial care","Age Defying Classic Night Cream",28
"facial care","Facial Mud",28
"facial care","Naturals Acne Foaming Scrub",27
"facial care","Daily Facial Moisturizer SPF 50+",27
"facial care","Deep Clean Cleanser & Mask",25
"facial care","Strip-Free Hot Wax for Brow & Face",24
"facial care","Hydrate Plus Face Lotion",23
"facial care","Oil Free Moisturizer",22
"facial care","Coconut Lime Lip Balm",22
"facial care","Sea Kelp Thoroughly Clean Face Wash",16
"facial care","Absolutely Ageless Restorative Night Cream",10
"facial care","Grapefruit Daily Facial Scrub",6
"facial care","Skin Firming Cellulite Gel Cream",3
